"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2016-11-22,"20:45","Group stage","Telia Parken","2016/2017","FC Copenhagen dk","pt Porto",0,0,NA,NA,"D"
2016-11-22,"20:45","Group stage","Estadio Ramón Sánchez Pizjuán","2016/2017","Sevilla es","it Juventus",1,3,NA,NA,"A"
2016-11-22,"20:45","Group stage","Stadion Maksimir","2016/2017","Dinamo Zagreb hr","fr Lyon",0,1,NA,NA,"A"
2016-11-23,"19:45","Group stage","Emirates Stadium","2016/2017","Arsenal eng","fr Paris S-G",2,2,NA,NA,"D"
2016-11-23,"19:45","Group stage","Celtic Park","2016/2017","Celtic sct","es Barcelona",0,2,NA,NA,"A"
2016-11-23,"20:00","Group stage","Stadion Olimp 2","2016/2017","Rostov ru","de Bayern Munich",3,2,NA,NA,"H"
2016-11-23,"20:45","Group stage","Stadion im Borussia-Park","2016/2017","Gladbach de","eng Manchester City",1,1,NA,NA,"D"
2016-11-23,"20:45","Group stage","Estadio Vicente Calderón","2016/2017","Atlético Madrid es","nl PSV Eindhoven",2,0,NA,NA,"H"
2016-11-23,"20:45","Group stage","Stadio San Paolo","2016/2017","Napoli it","ua Dynamo Kyiv",0,0,NA,NA,"D"
2016-11-23,"20:45","Group stage","Vodafone Arena","2016/2017","Beşiktaş tr","pt Benfica",3,3,NA,NA,"D"
2016-11-23,"21:45","Group stage","Stadion Vasil Levski","2016/2017","Ludogorets bg","ch Basel",0,0,NA,NA,"D"
2016-12-06,"19:45","Group stage","Etihad Stadium","2016/2017","Manchester City eng","sct Celtic",1,1,NA,NA,"D"
2016-12-06,"19:45","Group stage","Estádio do Sport Lisboa e Benfica","2016/2017","Benfica pt","it Napoli",1,2,NA,NA,"A"
2016-12-06,"20:45","Group stage","St. Jakob-Park","2016/2017","Basel ch","eng Arsenal",1,4,NA,NA,"A"
2016-12-06,"20:45","Group stage","Parc des Princes","2016/2017","Paris S-G fr","bg Ludogorets",2,2,NA,NA,"D"
2016-12-06,"20:45","Group stage","Camp Nou","2016/2017","Barcelona es","de Gladbach",4,0,NA,NA,"H"
2016-12-06,"20:45","Group stage","Philips Stadion","2016/2017","PSV Eindhoven nl","ru Rostov",0,0,NA,NA,"D"
