"date","time","round","venue","season","team","opponent","gf","ga","xg","xga","result"
2019-11-05,"20:00","Group stage","Stamford Bridge","2019/2020","Chelsea eng","nl Ajax",4,4,4.8,1,"D"
2019-11-05,"20:55","Group stage","Gazprom Arena","2019/2020","Zenit ru","de RB Leipzig",0,2,1.2,1.4,"A"
2019-11-05,"21:00","Group stage","Estadio de Mestalla","2019/2020","Valencia es","fr Lille",4,1,2.3,1.5,"H"
2019-11-05,"21:00","Group stage","Stadio San Paolo","2019/2020","Napoli it","at RB Salzburg",1,1,2.7,1.5,"D"
2019-11-05,"21:00","Group stage","Signal Iduna Park","2019/2020","Dortmund de","it Inter",3,2,3.5,1.4,"H"
2019-11-05,"21:00","Group stage","Groupama Stadium","2019/2020","Lyon fr","pt Benfica",3,1,1.4,1.3,"H"
2019-11-06,"18:55","Group stage","Allianz Arena","2019/2020","Bayern Munich de","gr Olympiacos",2,0,3.3,0.2,"H"
2019-11-06,"20:55","Group stage","RZD Arena","2019/2020","Loko Moscow ru","it Juventus",1,2,2.4,2.4,"A"
2019-11-06,"21:00","Group stage","Stadio Giuseppe Meazza","2019/2020","Atalanta it","eng Manchester City",1,1,0.7,2,"D"
2019-11-06,"21:00","Group stage","BayArena","2019/2020","Leverkusen de","es Atlético Madrid",2,1,1.3,2,"H"
2019-11-06,"21:00","Group stage","Parc des Princes","2019/2020","Paris S-G fr","be Club Brugge",1,0,1.9,1.8,"H"
2019-11-06,"21:00","Group stage","Estadio Santiago Bernabéu","2019/2020","Real Madrid es","tr Galatasaray",6,0,4.2,0.6,"H"
2019-11-06,"21:00","Group stage","Stadion Rajko Mitić","2019/2020","Red Star rs","eng Tottenham",0,4,0.5,2.5,"A"
2019-11-06,"21:00","Group stage","Stadion Maksimir","2019/2020","Dinamo Zagreb hr","ua Shakhtar",3,3,2,2.7,"D"
2019-11-26,"20:00","Group stage","Etihad Stadium","2019/2020","Manchester City eng","ua Shakhtar",1,1,1.2,1,"D"
2019-11-26,"20:00","Group stage","Tottenham Hotspur Stadium","2019/2020","Tottenham eng","gr Olympiacos",4,2,2.2,1.2,"H"
2019-11-26,"20:55","Group stage","Türk Telekom Arena","2019/2020","Galatasaray tr","be Club Brugge",1,1,0.9,1.1,"D"
2019-11-26,"20:55","Group stage","RZD Arena","2019/2020","Loko Moscow ru","de Leverkusen",0,2,1,0.7,"A"
2019-11-26,"21:00","Group stage","Estadio Santiago Bernabéu","2019/2020","Real Madrid es","fr Paris S-G",2,2,3.9,2.4,"D"
2019-11-26,"21:00","Group stage","Stadion Rajko Mitić","2019/2020","Red Star rs","de Bayern Munich",0,6,0.2,4.9,"A"
2019-11-26,"21:00","Group stage","Allianz Stadium","2019/2020","Juventus it","es Atlético Madrid",1,0,0.4,0.7,"H"
2019-11-26,"21:00","Group stage","Stadio Giuseppe Meazza","2019/2020","Atalanta it","hr Dinamo Zagreb",2,0,3,0.3,"H"
2019-11-27,"18:55","Group stage","Estadio de Mestalla","2019/2020","Valencia es","eng Chelsea",2,2,3.1,2.1,"D"
2019-11-27,"20:00","Group stage","Anfield","2019/2020","Liverpool eng","it Napoli",1,1,0.8,0.5,"D"
2019-11-27,"20:55","Group stage","Gazprom Arena","2019/2020","Zenit ru","fr Lyon",2,0,0.9,0.6,"H"
2019-11-27,"21:00","Group stage","Sinobo Stadium","2019/2020","Slavia Prague cz","it Inter",1,3,2.4,2.3,"A"
2019-11-27,"21:00","Group stage","Luminus Arena","2019/2020","Genk be","at RB Salzburg",1,4,1.6,3,"A"
2019-11-27,"21:00","Group stage","Stade Pierre-Mauroy","2019/2020","Lille fr","nl Ajax",0,2,2.4,1.6,"A"
2019-11-27,"21:00","Group stage","Red Bull Arena","2019/2020","RB Leipzig de","pt Benfica",2,2,3.2,0.9,"D"
2019-11-27,"21:00","Group stage","Camp Nou","2019/2020","Barcelona es","de Dortmund",3,1,2.4,1.6,"H"
2019-12-10,"18:55","Group stage","Stadio San Paolo","2019/2020","Napoli it","be Genk",4,0,3,1.8,"H"
2019-12-10,"18:55","Group stage","Red Bull Arena","2019/2020","RB Salzburg at","eng Liverpool",0,2,0.7,3.4,"A"
2019-12-10,"20:00","Group stage","Estádio do Sport Lisboa e Benfica","2019/2020","Benfica pt","ru Zenit",3,0,2.4,0.1,"H"
2019-12-10,"20:00","Group stage","Stamford Bridge","2019/2020","Chelsea eng","fr Lille",2,1,2.7,0.3,"H"
2019-12-10,"21:00","Group stage","Stadio Giuseppe Meazza","2019/2020","Inter it","es Barcelona",1,2,1.7,1.5,"A"
2019-12-10,"21:00","Group stage","Groupama Stadium","2019/2020","Lyon fr","de RB Leipzig",2,2,1.1,3.4,"D"
2019-12-10,"21:00","Group stage","Johan Cruyff ArenA","2019/2020","Ajax nl","es Valencia",0,1,1.2,1.1,"A"
2019-12-10,"21:00","Group stage","Signal Iduna Park","2019/2020","Dortmund de","cz Slavia Prague",2,1,2.9,2.8,"H"
2019-12-11,"18:55","Group stage","Stadion Maksimir","2019/2020","Dinamo Zagreb hr","eng Manchester City",1,4,0.4,3.6,"A"
2019-12-11,"19:55","Group stage","Oblasny SportKomplex Metalist","2019/2020","Shakhtar ua","it Atalanta",0,3,0.6,2.9,"A"
2019-12-11,"21:00","Group stage","Parc des Princes","2019/2020","Paris S-G fr","tr Galatasaray",5,0,4.4,0.3,"H"
2019-12-11,"21:00","Group stage","Allianz Arena","2019/2020","Bayern Munich de","eng Tottenham",3,1,2.9,1,"H"
2019-12-11,"21:00","Group stage","Estadio Wanda Metropolitano","2019/2020","Atlético Madrid es","ru Loko Moscow",2,0,3.2,0.1,"H"
2019-12-11,"21:00","Group stage","BayArena","2019/2020","Leverkusen de","it Juventus",0,2,2.2,0.9,"A"
2019-12-11,"21:00","Group stage","Jan Breydelstadion","2019/2020","Club Brugge be","es Real Madrid",1,3,1,1.2,"A"
2019-12-11,"22:00","Group stage","Stadio Georgios Karaiskáki","2019/2020","Olympiacos gr","rs Red Star",1,0,3.5,1.2,"H"
2020-02-18,"21:00","Round of 16","Signal Iduna Park","2019/2020","Dortmund de","fr Paris S-G",2,1,1.3,1.5,"H"
2020-02-18,"21:00","Round of 16","Estadio Wanda Metropolitano","2019/2020","Atlético Madrid es","eng Liverpool",1,0,1.2,0.5,"H"
2020-02-19,"20:00","Round of 16","Tottenham Hotspur Stadium","2019/2020","Tottenham eng","de RB Leipzig",0,1,1.1,2.1,"A"
2020-02-19,"21:00","Round of 16","Stadio Giuseppe Meazza","2019/2020","Atalanta it","es Valencia",4,1,1.8,2.5,"H"
2020-02-25,"20:00","Round of 16","Stamford Bridge","2019/2020","Chelsea eng","de Bayern Munich",0,3,1.1,3.4,"A"
2020-02-25,"21:00","Round of 16","Stadio San Paolo","2019/2020","Napoli it","es Barcelona",1,1,0.7,1.6,"D"
2020-02-26,"21:00","Round of 16","Estadio Santiago Bernabéu","2019/2020","Real Madrid es","eng Manchester City",1,2,1.2,3.2,"A"
2020-02-26,"21:00","Round of 16","Groupama Stadium","2019/2020","Lyon fr","it Juventus",1,0,1.1,1.1,"H"
2020-03-10,"21:00","Round of 16","Estadio de Mestalla","2019/2020","Valencia es","it Atalanta",3,4,2.2,2.7,"A"
2020-03-10,"21:00","Round of 16","Red Bull Arena","2019/2020","RB Leipzig de","eng Tottenham",3,0,0.9,0.3,"H"
2020-03-11,"20:00","Round of 16","Anfield","2019/2020","Liverpool eng","es Atlético Madrid",2,3,3.4,1.1,"A"
2020-03-11,"21:00","Round of 16","Parc des Princes","2019/2020","Paris S-G fr","de Dortmund",2,0,1.2,0.5,"H"
2020-08-07,"20:00","Round of 16","Etihad Stadium","2019/2020","Manchester City eng","es Real Madrid",2,1,2.1,0.8,"H"
2020-08-07,"21:00","Round of 16","Allianz Stadium","2019/2020","Juventus it","fr Lyon",2,1,2.6,1,"H"
2020-08-08,"21:00","Round of 16","Camp Nou","2019/2020","Barcelona es","it Napoli",3,1,1.1,2.2,"H"
2020-08-08,"21:00","Round of 16","Allianz Arena","2019/2020","Bayern Munich de","eng Chelsea",4,1,2.9,1,"H"
2020-08-12,"21:00","Quarter-finals","Estádio do Sport Lisboa e Benfica (Neutral Site)","2019/2020","Atalanta it","fr Paris S-G",1,2,0.5,2.8,"A"
2020-08-13,"21:00","Quarter-finals","Estádio José Alvalade (Neutral Site)","2019/2020","RB Leipzig de","es Atlético Madrid",2,1,0.9,1.1,"H"
2020-08-14,"20:00","Quarter-finals","Estádio do Sport Lisboa e Benfica (Neutral Site)","2019/2020","Barcelona es","de Bayern Munich",2,8,1.1,5.3,"A"
2020-08-15,"20:00","Quarter-finals","Estádio José Alvalade (Neutral Site)","2019/2020","Manchester City eng","fr Lyon",1,3,2.5,1,"A"
2020-08-18,"20:00","Semi-finals","Estádio do Sport Lisboa e Benfica (Neutral Site)","2019/2020","RB Leipzig de","fr Paris S-G",0,3,1,3.2,"A"
2020-08-19,"20:00","Semi-finals","Estádio José Alvalade (Neutral Site)","2019/2020","Lyon fr","de Bayern Munich",0,3,1.8,3.2,"A"
2020-08-23,"20:00","Final","Estádio do Sport Lisboa e Benfica (Neutral Site)","2019/2020","Paris S-G fr","de Bayern Munich",0,1,1.1,1.5,"A"
2020-10-20,"19:55","Group stage","Gazprom Arena","2020/2021","Zenit ru","be Club Brugge",1,2,2.2,2,"A"
2020-10-20,"19:55","Group stage","NSK Olimpijs'kyj","2020/2021","Dynamo Kyiv ua","it Juventus",0,2,0.5,2,"A"
2020-10-20,"20:00","Group stage","Stamford Bridge","2020/2021","Chelsea eng","es Sevilla",0,0,0.4,0.2,"D"
2020-10-20,"21:00","Group stage","Camp Nou","2020/2021","Barcelona es","hu Ferencváros",5,1,2.8,1.3,"H"
2020-10-20,"21:00","Group stage","Red Bull Arena","2020/2021","RB Leipzig de","tr Başakşehir",2,0,1,0.6,"H"
2020-10-20,"21:00","Group stage","Roazhon Park","2020/2021","Rennes fr","ru Krasnodar",1,1,2.7,1.4,"D"
2020-10-20,"21:00","Group stage","Parc des Princes","2020/2021","Paris S-G fr","eng Manchester Utd",1,2,1.4,1.4,"A"
2020-10-20,"21:00","Group stage","Stadio Olimpico","2020/2021","Lazio it","de Dortmund",3,1,1.7,1.3,"H"
2020-10-21,"18:55","Group stage","Estadio Alfredo Di Stéfano","2020/2021","Real Madrid es","ua Shakhtar",2,3,1,1.7,"A"
2020-10-21,"18:55","Group stage","Red Bull Arena","2020/2021","RB Salzburg at","ru Loko Moscow",2,2,1.1,0.8,"D"
2020-10-21,"20:00","Group stage","Etihad Stadium","2020/2021","Manchester City eng","pt Porto",3,1,1.5,0.2,"H"
2020-10-21,"21:00","Group stage","Allianz Arena","2020/2021","Bayern Munich de","es Atlético Madrid",4,0,2.6,0.4,"H"
2020-10-21,"21:00","Group stage","Stadio Giuseppe Meazza","2020/2021","Inter it","de Gladbach",2,2,2.8,1.4,"D"
2020-10-21,"21:00","Group stage","Johan Cruyff ArenA","2020/2021","Ajax nl","eng Liverpool",0,1,1.4,1.1,"A"
2020-10-21,"21:00","Group stage","MCH Arena","2020/2021","Midtjylland dk","it Atalanta",0,4,0.8,2.5,"A"
2020-10-21,"22:00","Group stage","Stadio Georgios Karaiskáki","2020/2021","Olympiacos gr","fr Marseille",1,0,1,0.9,"H"
2020-10-27,"19:55","Group stage","Oblasny SportKomplex Metalist","2020/2021","Shakhtar ua","it Inter",0,0,0.1,1.7,"D"
2020-10-27,"20:00","Group stage","Anfield","2020/2021","Liverpool eng","dk Midtjylland",2,0,2.2,1.2,"H"
2020-10-27,"20:00","Group stage","Estádio Do Dragão","2020/2021","Porto pt","gr Olympiacos",2,0,1.4,1,"H"
2020-10-27,"20:55","Group stage","RZD Arena","2020/2021","Loko Moscow ru","de Bayern Munich",1,2,1.5,3.2,"A"
2020-10-27,"21:00","Group stage","Orange Vélodrome","2020/2021","Marseille fr","eng Manchester City",0,3,0.1,1.9,"A"
2020-10-27,"21:00","Group stage","Stadio Atleti Azzurri d'Italia","2020/2021","Atalanta it","nl Ajax",2,2,1.7,1.4,"D"
2020-10-27,"21:00","Group stage","Estadio Wanda Metropolitano","2020/2021","Atlético Madrid es","at RB Salzburg",3,2,2.5,1.1,"H"
2020-10-27,"21:00","Group stage","Stadion im Borussia-Park","2020/2021","Gladbach de","es Real Madrid",2,2,1.6,2.6,"D"
2020-10-28,"20:00","Group stage","Old Trafford","2020/2021","Manchester Utd eng","de RB Leipzig",5,0,3.2,0.5,"H"
2020-10-28,"20:55","Group stage","Krasnodar Stadium","2020/2021","Krasnodar ru","eng Chelsea",0,4,0.6,2.4,"A"
2020-10-28,"20:55","Group stage","Başakşehir Fatih Terim Stadium","2020/2021","Başakşehir tr","fr Paris S-G",0,2,0.9,2.4,"A"
2020-10-28,"21:00","Group stage","Signal Iduna Park","2020/2021","Dortmund de","ru Zenit",2,0,1.7,0.2,"H"
2020-10-28,"21:00","Group stage","Jan Breydelstadion","2020/2021","Club Brugge be","it Lazio",1,1,2.1,0.8,"D"
2020-10-28,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2020/2021","Sevilla es","fr Rennes",1,0,2.6,0.1,"H"
2020-10-28,"21:00","Group stage","Groupama Arena","2020/2021","Ferencváros hu","ua Dynamo Kyiv",2,2,1,1.6,"D"
2020-10-28,"21:00","Group stage","Allianz Stadium","2020/2021","Juventus it","es Barcelona",0,2,0.4,2.3,"A"
2020-11-03,"19:55","Group stage","Oblasny SportKomplex Metalist","2020/2021","Shakhtar ua","de Gladbach",0,6,0.4,2.3,"A"
2020-11-03,"20:00","Group stage","Estádio Do Dragão","2020/2021","Porto pt","fr Marseille",3,0,2.4,1,"H"
2020-11-03,"20:00","Group stage","Etihad Stadium","2020/2021","Manchester City eng","gr Olympiacos",3,0,1.7,0.6,"H"
2020-11-03,"20:55","Group stage","RZD Arena","2020/2021","Loko Moscow ru","es Atlético Madrid",1,1,0.9,1,"D"
2020-11-03,"21:00","Group stage","Red Bull Arena","2020/2021","RB Salzburg at","de Bayern Munich",2,6,1.8,2.9,"A"
2020-11-03,"21:00","Group stage","MCH Arena","2020/2021","Midtjylland dk","nl Ajax",1,2,0.7,0.7,"A"
2020-11-03,"21:00","Group stage","Estadio Alfredo Di Stéfano","2020/2021","Real Madrid es","it Inter",3,2,1.2,0.7,"H"
2020-11-03,"21:00","Group stage","Stadio Atleti Azzurri d'Italia","2020/2021","Atalanta it","eng Liverpool",0,5,1.2,2.5,"A"
2020-11-04,"20:00","Group stage","Stamford Bridge","2020/2021","Chelsea eng","fr Rennes",3,0,3.3,0.6,"H"
2020-11-04,"20:55","Group stage","Başakşehir Fatih Terim Stadium","2020/2021","Başakşehir tr","eng Manchester Utd",2,1,1,0.7,"H"
2020-11-04,"20:55","Group stage","Gazprom Arena","2020/2021","Zenit ru","it Lazio",1,1,1.2,0.7,"D"
2020-11-04,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2020/2021","Sevilla es","ru Krasnodar",3,2,2,1.4,"H"
2020-11-04,"21:00","Group stage","Jan Breydelstadion","2020/2021","Club Brugge be","de Dortmund",0,3,1.2,1.8,"A"
2020-11-04,"21:00","Group stage","Puskás Aréna","2020/2021","Ferencváros hu","it Juventus",1,4,1.5,2.7,"A"
2020-11-04,"21:00","Group stage","Camp Nou","2020/2021","Barcelona es","ua Dynamo Kyiv",2,1,3.5,2.7,"H"
2020-11-04,"21:00","Group stage","Red Bull Arena","2020/2021","RB Leipzig de","fr Paris S-G",2,1,1.9,1.3,"H"
2020-11-24,"18:55","Group stage","Roazhon Park","2020/2021","Rennes fr","eng Chelsea",1,2,1.1,2.2,"A"
2020-11-24,"20:00","Group stage","Old Trafford","2020/2021","Manchester Utd eng","tr Başakşehir",4,1,2.9,1.3,"H"
2020-11-24,"20:55","Group stage","Krasnodar Stadium","2020/2021","Krasnodar ru","es Sevilla",1,2,1.1,1.6,"A"
2020-11-24,"21:00","Group stage","Stadio Olimpico","2020/2021","Lazio it","ru Zenit",3,1,3.3,0.6,"H"
2020-11-24,"21:00","Group stage","Parc des Princes","2020/2021","Paris S-G fr","de RB Leipzig",1,0,1.1,1.4,"H"
2020-11-24,"21:00","Group stage","Signal Iduna Park","2020/2021","Dortmund de","be Club Brugge",3,0,1.6,0.1,"H"
2020-11-24,"21:00","Group stage","Allianz Stadium","2020/2021","Juventus it","hu Ferencváros",2,1,1,0.4,"H"
2020-11-24,"22:00","Group stage","NSK Olimpijs'kyj","2020/2021","Dynamo Kyiv ua","es Barcelona",0,4,0.3,3,"A"
2020-11-25,"18:55","Group stage","Stadion im Borussia-Park","2020/2021","Gladbach de","ua Shakhtar",4,0,3.2,0.7,"H"
2020-11-25,"19:55","Group stage","Stadio Georgios Karaiskáki","2020/2021","Olympiacos gr","eng Manchester City",0,1,0.1,2.4,"A"
2020-11-25,"20:00","Group stage","Anfield","2020/2021","Liverpool eng","it Atalanta",0,2,0.2,1.2,"A"
2020-11-25,"21:00","Group stage","Orange Vélodrome","2020/2021","Marseille fr","pt Porto",0,2,1.3,2.1,"A"
2020-11-25,"21:00","Group stage","Stadio Giuseppe Meazza","2020/2021","Inter it","es Real Madrid",0,2,0.2,2,"A"
2020-11-25,"21:00","Group stage","Johan Cruyff ArenA","2020/2021","Ajax nl","dk Midtjylland",3,1,2.4,1.4,"H"
2020-11-25,"21:00","Group stage","Estadio Wanda Metropolitano","2020/2021","Atlético Madrid es","ru Loko Moscow",0,0,1.6,0.2,"D"
2020-11-25,"21:00","Group stage","Allianz Arena","2020/2021","Bayern Munich de","at RB Salzburg",3,1,1.3,3.3,"H"
2020-12-01,"19:55","Group stage","Oblasny SportKomplex Metalist","2020/2021","Shakhtar ua","es Real Madrid",2,0,1.3,1.4,"H"
2020-12-01,"20:00","Group stage","Anfield","2020/2021","Liverpool eng","nl Ajax",1,0,2,1.5,"H"
2020-12-01,"20:00","Group stage","Estádio Do Dragão","2020/2021","Porto pt","eng Manchester City",0,0,0.1,2.5,"D"
2020-12-01,"20:55","Group stage","RZD Arena","2020/2021","Loko Moscow ru","at RB Salzburg",1,3,1.1,2.4,"A"
2020-12-01,"21:00","Group stage","Orange Vélodrome","2020/2021","Marseille fr","gr Olympiacos",2,1,2,0.3,"H"
2020-12-01,"21:00","Group stage","Stadio Atleti Azzurri d'Italia","2020/2021","Atalanta it","dk Midtjylland",1,1,2.4,0.7,"D"
2020-12-01,"21:00","Group stage","Stadion im Borussia-Park","2020/2021","Gladbach de","it Inter",2,3,1.3,1.6,"A"
2020-12-01,"21:00","Group stage","Estadio Wanda Metropolitano","2020/2021","Atlético Madrid es","de Bayern Munich",1,1,1.6,1.1,"D"
2020-12-02,"20:00","Group stage","Old Trafford","2020/2021","Manchester Utd eng","fr Paris S-G",1,3,1.2,2.8,"A"
2020-12-02,"20:55","Group stage","Krasnodar Stadium","2020/2021","Krasnodar ru","fr Rennes",1,0,1.5,0.7,"H"
2020-12-02,"20:55","Group stage","Başakşehir Fatih Terim Stadium","2020/2021","Başakşehir tr","de RB Leipzig",3,4,0.6,2.1,"A"
2020-12-02,"21:00","Group stage","Jan Breydelstadion","2020/2021","Club Brugge be","ru Zenit",3,0,2,0.2,"H"
2020-12-02,"21:00","Group stage","Allianz Stadium","2020/2021","Juventus it","ua Dynamo Kyiv",3,0,2.9,0.6,"H"
2020-12-02,"21:00","Group stage","Signal Iduna Park","2020/2021","Dortmund de","it Lazio",1,1,1.4,1.9,"D"
2020-12-02,"21:00","Group stage","Puskás Aréna","2020/2021","Ferencváros hu","es Barcelona",0,3,0.8,4,"A"
2020-12-02,"21:00","Group stage","Estadio Ramón Sánchez Pizjuán","2020/2021","Sevilla es","eng Chelsea",0,4,1.3,2.4,"A"
2020-12-08,"18:55","Group stage","Stadio Olimpico","2020/2021","Lazio it","be Club Brugge",2,2,2.7,1.1,"D"
2020-12-08,"20:00","Group stage","Stamford Bridge","2020/2021","Chelsea eng","ru Krasnodar",1,1,2.5,0.4,"D"
2020-12-08,"20:55","Group stage","Gazprom Arena","2020/2021","Zenit ru","de Dortmund",1,2,1.2,1.6,"A"
2020-12-08,"21:00","Group stage","Camp Nou","2020/2021","Barcelona es","it Juventus",0,3,0.9,2.9,"A"
2020-12-08,"21:00","Group stage","Roazhon Park","2020/2021","Rennes fr","es Sevilla",1,3,2.4,1.5,"A"
2020-12-08,"21:00","Group stage","Red Bull Arena","2020/2021","RB Leipzig de","eng Manchester Utd",3,2,1.5,2,"H"
2020-12-08,"22:00","Group stage","NSK Olimpijs'kyj","2020/2021","Dynamo Kyiv ua","hu Ferencváros",1,0,0.5,0.7,"H"
2020-12-09,"18:55","Group stage","Johan Cruyff ArenA","2020/2021","Ajax nl","it Atalanta",0,1,0.7,1.2,"A"
2020-12-09,"18:55","Group stage","Parc des Princes","2020/2021","Paris S-G fr","tr Başakşehir",5,1,3.1,0.8,"H"
2020-12-09,"18:55","Group stage","MCH Arena","2020/2021","Midtjylland dk","eng Liverpool",1,1,2.3,1.1,"D"
2020-12-09,"20:00","Group stage","Etihad Stadium","2020/2021","Manchester City eng","fr Marseille",3,0,2.4,0.5,"H"
2020-12-09,"21:00","Group stage","Estadio Alfredo Di Stéfano","2020/2021","Real Madrid es","de Gladbach",2,0,2.8,1,"H"
2020-12-09,"21:00","Group stage","Allianz Arena","2020/2021","Bayern Munich de","ru Loko Moscow",2,0,1.7,0.4,"H"
2020-12-09,"21:00","Group stage","Red Bull Arena","2020/2021","RB Salzburg at","es Atlético Madrid",0,2,1.4,0.6,"A"
2020-12-09,"21:00","Group stage","Stadio Giuseppe Meazza","2020/2021","Inter it","ua Shakhtar",0,0,1.3,0.4,"D"
2020-12-09,"22:00","Group stage","Stadio Georgios Karaiskáki","2020/2021","Olympiacos gr","pt Porto",0,2,1,1,"A"
2021-02-16,"21:00","Round of 16","Camp Nou","2020/2021","Barcelona es","fr Paris S-G",1,4,1.6,2.8,"A"
2021-02-16,"21:00","Round of 16","Puskás Aréna (Neutral Site)","2020/2021","RB Leipzig de","eng Liverpool",0,2,1.3,1.4,"A"
2021-02-17,"20:00","Round of 16","Estádio Do Dragão","2020/2021","Porto pt","it Juventus",2,1,1.3,0.9,"H"
2021-02-17,"21:00","Round of 16","Estadio Ramón Sánchez Pizjuán","2020/2021","Sevilla es","de Dortmund",2,3,0.9,1.2,"A"
2021-02-23,"21:00","Round of 16","Stadio Olimpico","2020/2021","Lazio it","de Bayern Munich",1,4,0.9,1.9,"A"
2021-02-23,"21:00","Round of 16","Arena Naţională (Neutral Site)","2020/2021","Atlético Madrid es","eng Chelsea",0,1,0.8,1,"A"
2021-02-24,"21:00","Round of 16","Puskás Aréna (Neutral Site)","2020/2021","Gladbach de","eng Manchester City",0,2,0.4,1.6,"A"
2021-02-24,"21:00","Round of 16","Stadio Atleti Azzurri d'Italia","2020/2021","Atalanta it","es Real Madrid",0,1,0.1,1.5,"A"
2021-03-09,"21:00","Round of 16","Allianz Stadium","2020/2021","Juventus it","pt Porto",3,2,3,2.2,"H"
2021-03-09,"21:00","Round of 16","Fußballpark BVB Hohenbuschei","2020/2021","Dortmund de","es Sevilla",2,2,2.2,2,"D"
2021-03-10,"20:00","Round of 16","Puskás Aréna (Neutral Site)","2020/2021","Liverpool eng","de RB Leipzig",2,0,2.4,0.9,"H"
2021-03-10,"21:00","Round of 16","Parc des Princes","2020/2021","Paris S-G fr","es Barcelona",1,1,1.7,2.2,"D"
2021-03-16,"20:00","Round of 16","Puskás Aréna (Neutral Site)","2020/2021","Manchester City eng","de Gladbach",2,0,1.4,0.3,"H"
2021-03-16,"21:00","Round of 16","Estadio Alfredo Di Stéfano","2020/2021","Real Madrid es","it Atalanta",3,1,2.7,1.3,"H"
2021-03-17,"20:00","Round of 16","Stamford Bridge","2020/2021","Chelsea eng","es Atlético Madrid",2,0,2,0.5,"H"
2021-03-17,"21:00","Round of 16","Allianz Arena","2020/2021","Bayern Munich de","it Lazio",2,1,1.9,1.1,"H"
2021-04-06,"20:00","Quarter-finals","Etihad Stadium","2020/2021","Manchester City eng","de Dortmund",2,1,2.1,1.1,"H"
2021-04-06,"21:00","Quarter-finals","Estadio Alfredo Di Stéfano","2020/2021","Real Madrid es","eng Liverpool",3,1,2.1,0.7,"H"
2021-04-07,"20:00","Quarter-finals","Estadio Ramón Sánchez Pizjuán (Neutral Site)","2020/2021","Porto pt","eng Chelsea",0,2,1.4,1.6,"A"
2021-04-07,"21:00","Quarter-finals","Allianz Arena","2020/2021","Bayern Munich de","fr Paris S-G",2,3,3.7,1.3,"A"
2021-04-13,"20:00","Quarter-finals","Estadio Ramón Sánchez Pizjuán (Neutral Site)","2020/2021","Chelsea eng","pt Porto",0,1,1.2,0.4,"A"
2021-04-13,"21:00","Quarter-finals","Parc des Princes","2020/2021","Paris S-G fr","de Bayern Munich",0,1,1.6,1.5,"A"
2021-04-14,"20:00","Quarter-finals","Anfield","2020/2021","Liverpool eng","es Real Madrid",0,0,1.2,0.8,"D"
2021-04-14,"21:00","Quarter-finals","Signal Iduna Park","2020/2021","Dortmund de","eng Manchester City",1,2,0.5,2.5,"A"
2021-04-27,"21:00","Semi-finals","Estadio Alfredo Di Stéfano","2020/2021","Real Madrid es","eng Chelsea",1,1,0.7,1.7,"D"
2021-04-28,"21:00","Semi-finals","Parc des Princes","2020/2021","Paris S-G fr","eng Manchester City",1,2,1,0.8,"A"
2021-05-04,"20:00","Semi-finals","Etihad Stadium","2020/2021","Manchester City eng","fr Paris S-G",2,0,1.4,0.8,"H"
2021-05-05,"20:00","Semi-finals","Stamford Bridge","2020/2021","Chelsea eng","es Real Madrid",2,0,4,0.5,"H"
2021-05-29,"22:00","Final","Estádio Do Dragão (Neutral Site)","2020/2021","Manchester City eng","eng Chelsea",0,1,0.5,1.4,"A"
2021-09-14,"18:45","Group stage","Estadio Ramón Sánchez Pizjuán","2021/2022","Sevilla es","at RB Salzburg",1,1,1.5,2.9,"D"
2021-09-14,"18:45","Group stage","Wankdorfstadion","2021/2022","Young Boys ch","eng Manchester Utd",2,1,1.4,0.5,"H"
2021-09-14,"20:00","Group stage","Stamford Bridge","2021/2022","Chelsea eng","ru Zenit",1,0,0.7,0.9,"H"
2021-09-14,"21:00","Group stage","Estadio de la Cerámica","2021/2022","Villarreal es","it Atalanta",2,2,2.3,1.3,"D"
2021-09-14,"21:00","Group stage","Camp Nou","2021/2022","Barcelona es","de Bayern Munich",0,3,0.2,2.7,"A"
2021-09-14,"21:00","Group stage","Stade Pierre-Mauroy","2021/2022","Lille fr","de Wolfsburg",0,0,1.6,0.1,"D"
2021-09-14,"21:00","Group stage","Eleda Stadion","2021/2022","Malmö se","it Juventus",0,3,0.4,3.5,"A"
2021-09-14,"22:00","Group stage","NSK Olimpijs'kyj","2021/2022","Dynamo Kyiv ua","pt Benfica",0,0,0.6,1,"D"
2021-09-15,"19:45","Group stage","Bolshaya Sportivnaya Arena","2021/2022","Sheriff Tiraspol md","ua Shakhtar",2,0,1,0.8,"H"
2021-09-15,"19:45","Group stage","Vodafone Arena","2021/2022","Beşiktaş tr","de Dortmund",1,2,1.2,3,"A"
2021-09-15,"20:00","Group stage","Estádio José Alvalade","2021/2022","Sporting CP pt","nl Ajax",1,5,0.7,3.1,"A"
2021-09-15,"20:00","Group stage","Etihad Stadium","2021/2022","Manchester City eng","de RB Leipzig",6,3,1.9,0.9,"H"
2021-09-15,"20:00","Group stage","Anfield","2021/2022","Liverpool eng","it Milan",3,2,2.5,1.6,"H"
2021-09-15,"21:00","Group stage","Stadio Giuseppe Meazza","2021/2022","Inter it","es Real Madrid",0,1,2.4,1.2,"A"
2021-09-15,"21:00","Group stage","Jan Breydelstadion","2021/2022","Club Brugge be","fr Paris S-G",1,1,1.3,1.4,"D"
