"date","season","home_team","away_team","home_goals","away_goals","result"
2017-12-06,"2017/2018","Shakhtar ua","eng Manchester City",2,1,"H"
2018-02-13,"2017/2018","Basel ch","eng Manchester City",0,4,"A"
2018-02-13,"2017/2018","Juventus it","eng Tottenham",2,2,"D"
2018-02-14,"2017/2018","Porto pt","eng Liverpool",0,5,"A"
2018-02-14,"2017/2018","Real Madrid es","fr Paris S-G",3,1,"H"
2018-02-20,"2017/2018","Chelsea eng","es Barcelona",1,1,"D"
2018-02-20,"2017/2018","Bayern Munich de","tr Beşiktaş",5,0,"H"
2018-02-21,"2017/2018","Sevilla es","eng Manchester Utd",0,0,"D"
2018-02-21,"2017/2018","Shakhtar ua","it Roma",2,1,"H"
2018-03-06,"2017/2018","Liverpool eng","pt Porto",0,0,"D"
2018-03-06,"2017/2018","Paris S-G fr","es Real Madrid",1,2,"A"
2018-03-07,"2017/2018","Tottenham eng","it Juventus",1,2,"A"
2018-03-07,"2017/2018","Manchester City eng","ch Basel",1,2,"A"
2018-03-13,"2017/2018","Manchester Utd eng","es Sevilla",1,2,"A"
2018-03-13,"2017/2018","Roma it","ua Shakhtar",1,0,"H"
2018-03-14,"2017/2018","Beşiktaş tr","de Bayern Munich",1,3,"A"
2018-03-14,"2017/2018","Barcelona es","eng Chelsea",3,0,"H"
2018-04-03,"2017/2018","Sevilla es","de Bayern Munich",1,2,"A"
2018-04-03,"2017/2018","Juventus it","es Real Madrid",0,3,"A"
2018-04-04,"2017/2018","Liverpool eng","eng Manchester City",3,0,"H"
2018-04-04,"2017/2018","Barcelona es","it Roma",4,1,"H"
2018-04-10,"2017/2018","Manchester City eng","eng Liverpool",1,2,"A"
2018-04-10,"2017/2018","Roma it","es Barcelona",3,0,"H"
2018-04-11,"2017/2018","Bayern Munich de","es Sevilla",0,0,"D"
2018-04-11,"2017/2018","Real Madrid es","it Juventus",1,3,"A"
2018-04-24,"2017/2018","Liverpool eng","it Roma",5,2,"H"
2018-04-25,"2017/2018","Bayern Munich de","es Real Madrid",1,2,"A"
2018-05-01,"2017/2018","Real Madrid es","de Bayern Munich",2,2,"D"
2018-05-02,"2017/2018","Roma it","eng Liverpool",4,2,"H"
2018-05-26,"2017/2018","Real Madrid es","eng Liverpool",3,1,"H"
2018-09-18,"2018/2019","Barcelona es","nl PSV Eindhoven",4,0,"H"
2018-09-18,"2018/2019","Inter it","eng Tottenham",2,1,"H"
2018-09-18,"2018/2019","Liverpool eng","fr Paris S-G",3,2,"H"
2018-09-18,"2018/2019","Red Star rs","it Napoli",0,0,"D"
2018-09-18,"2018/2019","Club Brugge be","de Dortmund",0,1,"A"
2018-09-18,"2018/2019","Monaco fr","es Atlético Madrid",1,2,"A"
2018-09-18,"2018/2019","Schalke 04 de","pt Porto",1,1,"D"
2018-09-18,"2018/2019","Galatasaray tr","ru Loko Moscow",3,0,"H"
2018-09-19,"2018/2019","Ajax nl","gr AEK Athens",3,0,"H"
2018-09-19,"2018/2019","Shakhtar ua","de Hoffenheim",2,2,"D"
2018-09-19,"2018/2019","Manchester City eng","fr Lyon",1,2,"A"
2018-09-19,"2018/2019","Benfica pt","de Bayern Munich",0,2,"A"
2018-09-19,"2018/2019","Valencia es","it Juventus",0,2,"A"
2018-09-19,"2018/2019","Real Madrid es","it Roma",3,0,"H"
2018-09-19,"2018/2019","Young Boys ch","eng Manchester Utd",0,3,"A"
2018-09-19,"2018/2019","Viktoria Plzeň cz","ru CSKA Moscow",2,2,"D"
2018-10-02,"2018/2019","Hoffenheim de","eng Manchester City",1,2,"A"
2018-10-02,"2018/2019","Juventus it","ch Young Boys",3,0,"H"
2018-10-02,"2018/2019","Manchester Utd eng","es Valencia",0,0,"D"
2018-10-02,"2018/2019","Bayern Munich de","nl Ajax",1,1,"D"
2018-10-02,"2018/2019","Lyon fr","ua Shakhtar",2,2,"D"
2018-10-02,"2018/2019","Roma it","cz Viktoria Plzeň",5,0,"H"
2018-10-02,"2018/2019","CSKA Moscow ru","es Real Madrid",1,0,"H"
2018-10-02,"2018/2019","AEK Athens gr","pt Benfica",2,3,"A"
2018-10-03,"2018/2019","Paris S-G fr","rs Red Star",6,1,"H"
2018-10-03,"2018/2019","Loko Moscow ru","de Schalke 04",0,1,"A"
2018-10-03,"2018/2019","Porto pt","tr Galatasaray",1,0,"H"
2018-10-03,"2018/2019","Tottenham eng","es Barcelona",2,4,"A"
2018-10-03,"2018/2019","Dortmund de","fr Monaco",3,0,"H"
2018-10-03,"2018/2019","PSV Eindhoven nl","it Inter",1,2,"A"
2018-10-03,"2018/2019","Napoli it","eng Liverpool",1,0,"H"
2018-10-03,"2018/2019","Atlético Madrid es","be Club Brugge",3,1,"H"
2018-10-23,"2018/2019","Young Boys ch","es Valencia",1,1,"D"
2018-10-23,"2018/2019","AEK Athens gr","de Bayern Munich",0,2,"A"
2018-10-23,"2018/2019","Manchester Utd eng","it Juventus",0,1,"A"
2018-10-23,"2018/2019","Real Madrid es","cz Viktoria Plzeň",2,1,"H"
2018-10-23,"2018/2019","Roma it","ru CSKA Moscow",3,0,"H"
2018-10-23,"2018/2019","Hoffenheim de","fr Lyon",3,3,"D"
2018-10-23,"2018/2019","Ajax nl","pt Benfica",1,0,"H"
2018-10-23,"2018/2019","Shakhtar ua","eng Manchester City",0,3,"A"
2018-10-24,"2018/2019","Club Brugge be","fr Monaco",1,1,"D"
2018-10-24,"2018/2019","PSV Eindhoven nl","eng Tottenham",2,2,"D"
2018-10-24,"2018/2019","Liverpool eng","rs Red Star",4,0,"H"
2018-10-24,"2018/2019","Barcelona es","it Inter",2,0,"H"
2018-10-24,"2018/2019","Paris S-G fr","it Napoli",2,2,"D"
2018-10-24,"2018/2019","Dortmund de","es Atlético Madrid",4,0,"H"
2018-10-24,"2018/2019","Loko Moscow ru","pt Porto",1,3,"A"
2018-10-24,"2018/2019","Galatasaray tr","de Schalke 04",0,0,"D"
2018-11-06,"2018/2019","Red Star rs","eng Liverpool",2,0,"H"
2018-11-06,"2018/2019","Monaco fr","be Club Brugge",0,4,"A"
2018-11-06,"2018/2019","Porto pt","ru Loko Moscow",4,1,"H"
2018-11-06,"2018/2019","Tottenham eng","nl PSV Eindhoven",2,1,"H"
